92;"POSTE ILUMINACIÓN PROYECTO ACOPIO";"POSTE ILUMINACIÓN PROYECTO ACOPIO";"";
93;"RED CONECTIVIDAD";"RED CONECTIVIDAD";"";
94;"RED DE CONECTIBIDAD";"RED DE CONECTIBIDAD";"";
95;"SALA AUDIOVISUALES";"SALA AUDIOVISUALES";"";
96;"SALA DE PROFESORES";"SALA DE PROFESORES";"";
97;"SECRETARIA";"SECRETARIA";"";
98;"SISTEMA DE CAMARAS";"SISTEMA DE CAMARAS";"";
99;"SODA";"SODA";"";
100;"SUBDIRECCION";"SUBDIRECCION";"";
101;"SUB-DIRECCION";"SUB-DIRECCION";"";
102;"TALLER  EJECUTIVO";"TALLER  EJECUTIVO";"";
103;"TALLER ELECTRÓNICA";"TALLER ELECTRÓNICA";"";
104;"TURISMO";"TURISMO";"";
105;"";"";"";
106;"Lab. Ingles N° 4";"Lab. Ingles N° 4";"";
107;"Matenimiento";"Matenimiento";"";
108;"Lab. Institucional N° 4";"Lab. Institucional N° 4";"";
109;"Lab. Institucional N° 2";"Lab. Institucional N° 2";"";
110;"Lab. Institucional N° 1";"Lab. Institucional N° 1";"";
111;"Lab. Institucional N° 3";"Lab. Institucional N° 3";"";
112;"DEP. ORIENTACION";"DEP. ORIENTACION";"";
113;"Lab. Institucional N° 5";"Lab. Institucional N° 5";"";
114;"N/I";"N/I";"";
115;"Bar Didáctico y Cafetería";"Bar Didáctico y Cafetería";"";
116;"Ejecutivo";"Ejecutivo";"";
117;"AULA 15 (Lab. Institucional N°2)";"AULA 15 (Lab. Institucional N°2)";"";
